"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"1,6-Anhydro-beta-D-glucose",0.089363,0.15892,-0.24419,0.16662,-0.24006,0.056418,-0.089907,0.36151,-0.04923,0.10865,-0.088315,0.11907,-0.079927,0.068896,-0.23592,0.24764,-0.08943,0.058338,0.059825,-0.22291,0.11148,-0.040348,-0.089707,0.12823,0.024146,0.16326,-0.16694,-0.1647,-0.025535,0.19123,0.16202,0.24404,-0.17397,-0.13381,0.12516,0.075554,0.12132,-0.0067818,-0.010275,-0.06446,-0.059521,-0.14512,0.13229,0.14904,-0.084272,-0.011731,-0.091273,-0.048363,-0.059372,0.033486,0.0013071,0.0068423,0.0007452,0.019696,0.014955,0.08653,-0.13927,-0.0137,-0.025119,-0.025002,0.045414,0.021223,0.0066447
"1-Methylnicotinamide",0.11607,0.029972,0.26846,0.21617,0.10723,0.022377,0.027533,-0.1161,0.049999,-0.28846,-0.040305,0.09128,0.15347,-0.040875,-0.14316,0.12982,0.00019852,0.017955,0.066808,-0.2446,0.11254,-0.090768,0.078484,-0.11278,-0.11539,-0.36896,-0.16091,-0.010554,0.068457,0.20489,0.15735,-0.042744,-0.082805,0.024675,-0.0076456,0.19202,-0.19899,-0.22514,-0.029366,0.048433,-0.15053,-0.0077175,0.014457,-0.14056,-0.058384,-0.13395,0.0084877,-0.10141,-0.11206,-0.12202,-0.070925,-0.049411,0.007076,0.15935,0.054583,-0.026605,0.12561,-0.066618,0.11738,0.046792,-0.038691,-0.12281,-0.012601
"2-Aminobutyrate",0.10151,-0.076103,-0.2069,-0.028737,-0.10192,0.08518,-0.0031972,-0.013855,-0.021617,-0.060363,-0.064322,0.022073,0.33023,0.094192,0.22132,0.0072848,0.14809,0.15379,-0.041729,-0.088629,0.030414,0.50061,0.21243,-0.28118,0.048927,0.14306,-0.056656,0.0010912,0.11402,0.14816,0.13352,0.018925,-0.089514,0.10514,0.018411,0.054554,0.014212,0.069844,0.21548,0.095278,0.095646,-0.010736,-0.032858,-0.039118,0.1613,-0.0064996,-0.018682,-0.12725,0.19426,0.016407,-0.061378,-0.11284,-0.069484,-0.011065,-0.026842,0.075291,-0.045245,-0.015613,0.10504,-0.017057,-0.13205,0.009692,0.046772
"2-Hydroxyisobutyrate",0.1064,-0.018736,0.089304,-0.044764,-0.0040351,-0.0085062,-0.068283,0.054967,0.043696,0.066098,-0.15732,-0.0090595,0.0083413,0.060666,0.084171,0.088041,-0.09923,0.079414,0.13741,-0.059713,0.084244,-0.065228,-0.029992,-0.099955,-0.043238,0.0093856,-0.04085,0.084091,0.037465,-0.16788,0.050841,0.064411,-0.082584,0.014588,-0.018678,-0.027043,0.013729,-0.08017,-0.14883,0.10036,-0.00057439,-0.13778,-0.40323,0.096113,0.22741,-0.16335,0.19576,0.30846,-0.030219,-0.16382,-0.042386,0.15654,0.18883,0.068193,-0.29082,0.31099,0.017692,0.20461,-0.038573,-0.061685,-0.13729,0.11101,0.095345
"2-Oxoglutarate",0.14154,-0.33374,0.24722,-0.22747,-0.16441,0.14645,0.15059,0.0054424,0.049725,-0.048179,0.049156,0.032261,-0.24719,-0.07818,-0.15931,0.025705,-0.069712,0.19755,-0.086802,-0.081431,-0.11753,0.1445,0.0064601,0.034035,0.10048,0.16903,-0.095901,-0.05689,0.027627,0.066656,0.052609,-0.26333,-0.13807,-0.14019,0.079302,0.035562,0.11297,0.13756,-0.0013013,-0.076284,0.086421,0.039691,-0.089064,-0.088288,-0.11413,0.12668,-0.0462,-0.011048,-0.055855,-0.27042,-0.059062,0.17869,-0.18748,0.15203,-0.11334,-0.041547,0.15404,0.040743,-0.0094712,0.0060027,0.098651,-0.030346,0.010808
"3-Aminoisobutyrate",0.13336,-0.16415,-0.31751,-0.038345,-0.14556,-0.11308,0.068417,-0.30726,-0.32507,0.22504,0.21097,0.21403,0.13761,-0.1638,0.11824,-0.13327,0.037936,-0.06654,-0.12113,-0.10306,0.2026,-0.16887,-0.12889,0.081045,-0.09084,-0.19313,-0.12807,-0.037626,-0.057868,0.090502,-0.074952,-0.072149,-0.07432,-0.080011,-0.11523,0.095289,0.085911,0.029532,0.10458,0.087922,0.067952,-0.097308,-0.14459,-0.0073906,-0.069338,-0.022922,0.023691,0.06542,-0.085747,0.036943,-0.17407,0.0032172,-0.051099,0.013835,-0.084452,0.043219,0.015648,-0.010664,-0.029447,0.037741,0.16071,0.018863,0.0075516
"3-Hydroxybutyrate",0.13798,0.025224,-0.07558,-0.079329,-0.069768,0.072718,0.12061,-0.10145,0.18174,-0.020175,-0.016968,0.15969,0.072694,-0.099997,-0.021477,-0.015722,0.22277,0.059003,0.10047,0.076747,0.32983,0.011455,-0.060789,0.045887,0.13848,-0.123,0.084822,0.082343,0.053347,-0.1617,0.15113,-0.17097,-0.004986,-0.14507,0.24472,0.019876,0.044142,-0.12831,-0.31652,-0.0060601,0.065799,-0.11345,0.23164,0.031351,-0.010115,0.16617,-0.043902,0.2006,0.29522,0.0084728,0.10202,-0.071688,0.037425,0.054147,0.12764,-0.025848,0.070896,-0.066727,-0.050298,-0.011439,-0.069679,0.24911,-0.01139
"3-Hydroxyisovalerate",0.12698,0.18084,-0.027313,0.089292,0.14977,-0.078695,0.081996,0.19295,0.079737,-0.14346,0.05042,-0.083994,0.27671,0.048332,-0.12259,-0.058288,-0.21894,0.31647,-0.17244,0.17464,0.13454,-0.054591,-0.26838,0.023644,-0.013161,-0.03537,0.13306,0.016453,0.31251,-0.058498,0.064587,-0.1978,-0.0020788,-0.15082,-0.054542,-0.034139,0.13589,0.181,0.15011,-0.024183,0.048428,0.083735,-0.052509,-0.087886,-0.053688,-0.11854,0.17116,0.033306,-0.12414,0.14097,-0.050424,0.055679,-0.16086,-0.029358,0.1126,0.081512,-0.057195,-0.0042564,-0.00089486,0.055059,0.010336,0.073924,0.054256
"3-Indoxylsulfate",0.10005,0.099057,-0.021201,0.10977,-0.11146,0.0084568,0.022877,-0.12272,0.023007,0.11058,-0.12663,-0.11074,-0.028261,-0.028705,0.10246,-0.25279,-0.27303,0.11015,-0.095976,0.055557,-0.22085,0.17016,0.24395,-0.0051717,-0.16917,-0.11933,-0.019081,-0.20146,0.00067404,0.11371,0.035684,-0.1009,-0.050545,-0.080451,-0.0035707,-0.2209,-0.046224,-0.40803,-0.12907,-0.16799,0.081071,-0.10215,0.17299,0.14403,-0.1011,0.020901,0.11475,0.068988,-0.093994,0.15752,0.0074375,-0.035282,-0.155,-0.023703,-0.053058,0.11583,0.075001,0.092822,-0.12027,-0.029125,0.027159,0.039531,0.053507
"4-Hydroxyphenylacetate",0.10286,0.11191,0.035729,-0.027367,-0.16956,0.095652,-0.041234,0.031312,-0.0307,0.05785,-0.032792,0.10272,0.03258,-0.075151,0.026434,-0.00029959,-0.25557,-0.08435,0.025738,0.0047551,-0.21734,-0.057503,0.0071669,-0.063439,0.031024,-0.19807,0.15108,-0.33303,0.09734,0.045931,-0.046146,-0.042929,0.16443,0.080076,0.0055001,-0.088105,0.080744,0.10492,0.15011,0.23068,-0.15382,-0.1268,-0.15576,-0.1898,-0.11548,0.28357,0.0060041,0.0054759,0.2368,-0.080799,0.21019,0.03675,0.21424,0.17131,0.16666,0.14655,-0.063221,-0.069318,0.12578,0.018083,0.011193,0.080569,-0.03471
